id,TRIAL,Trial_env,ENV,Trial_env,REP,GEN,sve,Above_median_BLUP,Company,PLOT.WT,COB,MOIST,Yield,TEMP_v3,RH_v3,VPD_v3,TEMP_veg,RH_veg,VPD_veg,TEMP_flow,RH_flow,VPD_flow,TEMP_gf,RH_gf,VPD_gf
63,LT,4,AYVALIK2019,,1,H3,LTAYVALIK2019H31,NA,NA,NA,NA,NA,NA,20.1,65.4,809.7645226,26.4,56.9,1473.596931,26.6,52.4,1646.6684,28.1,48.4,1948.220556
64,LT,4,MANISA2015,,1,H3,LTMANISA2015H31,BM,0,14.7,13.1,17.5,17.50630814,21.6,51.7,1239.220546,23.7,58.4,1211.750646,28.8,42.8,2248.882322,28.6,49.8,1951.013707
65,LT,1,MANISA2016,,1,H3,LTMANISA2016H31,BM,0,12.8,10.4,12.5,16.66976744,19.7,58,958.9777322,26.9,47.6,1844.857003,29,42.8,2274.957698,28.8,49.1,2001.190738
66,LT,1,MANISA2017,,1,H3,LTMANISA2017H31,NA,NA,NA,NA,NA,NA,20.8,54.1,1121.454446,25.7,52.3,1565.008969,28.9,43.2,2246.069921,28.5,47.2,2040.237181
67,LT,1,MANISA2018,,1,H3,LTMANISA2018H31,NA,NA,NA,NA,NA,NA,22.9,54.7,1257.549619,25.3,54.8,1448.317966,28.5,49.2,1962.95547,29,49.5,2008.48538
68,LT,1,MANISA2019,,1,H3,LTMANISA2019H31,NA,NA,NA,NA,NA,NA,21.4,51.9,1219.131868,26.7,51.7,1680.708219,27.7,45.9,1995.708554,29.1,43.6,2256.092437
69,LT,1,MERSIN2015,,1,H3,LTMERSIN2015H31,BM,0,12,12.2,19,14.17634551,22.7,62.2,1036.753392,25.4,66.6,1076.572083,28.6,67.7,1255.333521,30.3,60.8,1679.672048
70,LT,1,MERSIN2016,,1,H3,LTMERSIN2016H31,BM,0,14.1,14,17.6,16.59771429,21.7,65.5,890.5646411,26.8,65.5,1207.559008,29.6,65.6,1416.154616,30,64.4,1499.506342
71,LT,1,MERSIN2019,,1,H3,LTMERSIN2019H31,NA,NA,NA,NA,NA,NA,23.3,59.9,1140.338467,27,66.7,1179.277179,28.9,62.6,1478.926321,30,61.7,1613.232947
72,LT,1,SAKARYA2019,,1,H3,LTSAKARYA2019H31,NA,NA,NA,NA,NA,NA,20,62.5,872.2403524,23.7,68.7,911.725847,23.5,67,949.7790587,23.9,69.1,910.9231481
73,LT,2,ADANA2015,,1,HELEN,LTADANA2015HELEN1,AM,LIMAGRAIN,13.5,17.7,18.6,15.02316777,22.5,64.8,953.8388868,25,69.6,956.9160889,28.4,69.8,1160.224222,30,63.4,1541.627307
74,LT,2,ADANA2016,,1,HELEN,LTADANA2016HELEN1,AM,LIMAGRAIN,13.735,11,14.8,17.30062425,21.6,69.3,787.6619206,27.1,66.1,1207.562683,29.5,67.5,1330.284186,29.9,69,1298.303609
75,LT,2,ADANA2017,,1,HELEN,LTADANA2017HELEN1,AM,LIMAGRAIN,11.98,12,16.8,14.57022724,21.8,68.8,810.2961797,26.2,69.1,1044.129697,30.4,64.4,1534.139224,29.9,67.5,1361.124752
76,LT,2,ADANA2018,,1,HELEN,LTADANA2018HELEN1,NA,NA,NA,NA,NA,NA,24.4,62.8,1129.899614,26.4,70.2,1018.867484,29.1,69.8,1208.049497,29.6,68.8,1284.419303
77,LT,2,ADANA2019,,1,HELEN,LTADANA2019HELEN1,NA,NA,NA,NA,NA,NA,24.1,57.6,1264.982487,27.1,68.7,1114.947256,28.4,68.8,1198.642242,29.6,68,1317.353131
78,LT,2,AYVALIK2015,,1,HELEN,LTAYVALIK2015HELEN1,AM,LIMAGRAIN,16.5,15,21.6,18.26511628,21,57.8,1043.762803,23.7,58.8,1200.099198,27.3,50.2,1794.775957,28.4,53.7,1778.754353
79,LT,2,AYVALIK2017,,1,HELEN,LTAYVALIK2017HELEN1,AM,LIMAGRAIN,16.6,14.2,20.7,18.76169502,20.4,59.4,967.8977476,25.1,58.5,1314.090861,27.7,49.7,1855.529395,28,49.9,1880.645094
80,LT,2,AYVALIK2018,,1,HELEN,LTAYVALIK2018HELEN1,NA,NA,NA,NA,NA,NA,22.5,59,1111.005522,25.2,58.2,1331.461611,28.2,56.9,1636.752826,28.5,53.2,1808.392047
81,LT,3,AYVALIK2019,,1,HELEN,LTAYVALIK2019HELEN1,NA,NA,NA,NA,NA,NA,20.1,65.4,809.7645226,26.4,56.9,1473.596931,26.6,52.4,1646.6684,28.1,48.4,1948.220556
82,LT,3,MANISA2015,,1,HELEN,LTMANISA2015HELEN1,AM,LIMAGRAIN,16.65,14.4,19.7,19.01109169,21.6,51.7,1239.220546,23.7,58.4,1211.750646,28.8,42.8,2248.882322,28.6,49.8,1951.013707
83,LT,3,MANISA2016,,1,HELEN,LTMANISA2016HELEN1,AM,LIMAGRAIN,12.5,9,13.2,16.40116279,19.7,58,958.9777322,26.9,47.6,1844.857003,29,42.8,2274.957698,28.8,49.1,2001.190738
84,LT,3,MANISA2017,,1,HELEN,LTMANISA2017HELEN1,AM,LIMAGRAIN,14.1,7.9,13,18.76728738,20.8,54.1,1121.454446,25.7,52.3,1565.008969,28.9,43.2,2246.069921,28.5,47.2,2040.237181
85,LT,3,MANISA2018,,1,HELEN,LTMANISA2018HELEN1,NA,NA,NA,NA,NA,NA,22.9,54.7,1257.549619,25.3,54.8,1448.317966,28.5,49.2,1962.95547,29,49.5,2008.48538
86,LT,3,MANISA2019,,1,HELEN,LTMANISA2019HELEN1,NA,NA,NA,NA,NA,NA,21.4,51.9,1219.131868,26.7,51.7,1680.708219,27.7,45.9,1995.708554,29.1,43.6,2256.092437
87,LT,3,MERSIN2015,,1,HELEN,LTMERSIN2015HELEN1,AM,LIMAGRAIN,12.9,12.5,20.5,14.90625,22.7,62.2,1036.753392,25.4,66.6,1076.572083,28.6,67.7,1255.333521,30.3,60.8,1679.672048
88,LT,3,MERSIN2016,,1,HELEN,LTMERSIN2016HELEN1,AM,LIMAGRAIN,12.4,12,16.1,15.20792027,21.7,65.5,890.5646411,26.8,65.5,1207.559008,29.6,65.6,1416.154616,30,64.4,1499.506342
89,LT,4,MERSIN2019,,1,HELEN,LTMERSIN2019HELEN1,NA,NA,NA,NA,NA,NA,23.3,59.9,1140.338467,27,66.7,1179.277179,28.9,62.6,1478.926321,30,61.7,1613.232947
90,LT,4,SAKARYA2019,,1,HELEN,LTSAKARYA2019HELEN1,NA,NA,NA,NA,NA,NA,20,62.5,872.2403524,23.7,68.7,911.725847,23.5,67,949.7790587,23.9,69.1,910.9231481
91,LT,4,ADANA2015,,1,KALUMET,LTADANA2015KALUMET1,NA,NA,NA,NA,NA,NA,22.5,64.8,953.8388868,25,69.6,956.9160889,28.4,69.8,1160.224222,30,63.4,1541.627307
